name,seed,F1@5,Precision@5,Recall@5,NDCG@5,PSP@5,PSDCG@5,MAP@5,F1@10,Precision@10,Recall@10,NDCG@10,PSP@10,PSDCG@10,MAP@10,F1@15,Precision@15,Recall@15,NDCG@15,PSP@15,PSDCG@15,MAP@15,F1@20,Precision@20,Recall@20,NDCG@20,PSP@20,PSDCG@20,MAP@20,F1@25,Precision@25,Recall@25,NDCG@25,PSP@25,PSDCG@25,MAP@25,MRR
Contras-MM-60,1234,0.286,0.1895,0.632,0.6192,16.9376,56.215,0.6362,0.1804,0.1048,0.6763,0.6059,12.1881,67.7611,0.6291,0.1327,0.0736,0.7029,0.6215,10.3637,76.5089,0.6244,0.1047,0.0566,0.7158,0.6307,9.0648,82.6337,0.6209,0.0893,0.0476,0.7458,0.638,8.2426,88.0957,0.615,0.868
Contras-MM-60,12345,0.2913,0.193,0.6468,0.6244,17.9444,58.2663,0.6343,0.1819,0.1057,0.6853,0.6134,12.777,70.0104,0.6299,0.1359,0.0753,0.7201,0.6306,10.862,79.365,0.6266,0.1077,0.0582,0.7383,0.6424,9.06,83.6698,0.6228,0.0901,0.048,0.753,0.6506,8.2962,89.429,0.6216,0.888
Contras-MM-70,1,0.2807,0.1859,0.6291,0.6475,22.9267,77.374,0.6447,0.1815,0.1055,0.6818,0.6212,19.1087,102.1057,0.6353,0.1343,0.0744,0.7112,0.634,15.1554,111.532,0.6314,0.1057,0.0571,0.7229,0.6414,12.2037,115.5317,0.6271,0.0882,0.0469,0.7421,0.6525,10.6942,120.5839,0.6238,0.8989
Contras-MM-70,12,0.2827,0.1873,0.6347,0.6269,16.9193,55.8265,0.6358,0.1751,0.1018,0.6621,0.6086,11.3136,64.9584,0.6273,0.1314,0.0728,0.694,0.6244,9.505,72.8374,0.6209,0.1051,0.0568,0.7176,0.6358,8.8848,81.0729,0.6147,0.0875,0.0466,0.7342,0.6435,7.6783,84.1593,0.6137,0.8819
Contras-MM-70,123,0.2807,0.1859,0.6328,0.6262,18.6942,62.9577,0.6465,0.1785,0.1037,0.6772,0.618,13.9081,77.3056,0.6347,0.1335,0.074,0.7153,0.6291,11.4054,85.84,0.6301,0.1077,0.0582,0.7401,0.6399,9.7939,91.6731,0.6252,0.089,0.0474,0.7496,0.6476,8.1373,93.3478,0.6234,0.8957
Contras-MM-70,1234,0.2893,0.1916,0.6358,0.6189,17.4997,57.3433,0.6404,0.1804,0.1048,0.6785,0.6089,12.3563,68.6299,0.6338,0.1325,0.0734,0.7003,0.622,10.3697,76.9594,0.6279,0.1063,0.0575,0.7266,0.6315,9.2139,83.7471,0.6224,0.089,0.0474,0.7429,0.6405,8.0051,87.234,0.6196,0.8737
Contras-MM-70,12345,0.2873,0.1903,0.6383,0.6258,20.3962,68.8639,0.6347,0.1796,0.1044,0.6768,0.6168,13.3502,78.9,0.6316,0.1338,0.0741,0.7106,0.6316,11.3196,88.395,0.6287,0.1069,0.0578,0.728,0.642,9.9809,95.4164,0.6228,0.0892,0.0475,0.7435,0.649,8.8108,99.9247,0.6204,0.8974
Contras-MM-80,1,0.286,0.1895,0.6311,0.6315,24.15,76.7852,0.6436,0.1826,0.1062,0.6884,0.6176,18.4895,97.4664,0.6378,0.1338,0.0741,0.7103,0.6344,14.2263,104.9711,0.6319,0.1061,0.0574,0.7302,0.6435,12.0622,111.498,0.6278,0.088,0.0469,0.7409,0.65,10.1632,114.2822,0.625,0.8928
Contras-MM-80,12,0.2807,0.1859,0.6307,0.6347,19.4574,64.8876,0.65,0.177,0.1029,0.6721,0.6173,13.2738,76.4783,0.6412,0.133,0.0737,0.7129,0.6267,12.0241,89.0023,0.6367,0.1051,0.0568,0.7248,0.6368,10.073,93.9241,0.632,0.0882,0.0469,0.743,0.645,9.0326,99.2608,0.6307,0.8842
Contras-MM-80,123,0.2794,0.1851,0.6233,0.6145,13.318,46.0522,0.6271,0.1804,0.1048,0.6789,0.608,10.1142,57.0721,0.6199,0.1327,0.0736,0.7053,0.62,9.0211,66.0751,0.6167,0.1067,0.0577,0.7338,0.6301,8.4444,74.0031,0.6136,0.0892,0.0475,0.7502,0.6403,7.6772,79.0517,0.607,0.8832
Contras-MM-80,1234,0.2867,0.1899,0.6324,0.6214,16.7732,55.713,0.6388,0.1792,0.1042,0.6733,0.6063,11.7024,66.1532,0.63,0.1325,0.0734,0.7001,0.6213,10.1926,75.5319,0.624,0.1063,0.0575,0.7216,0.6306,9.1399,82.5518,0.6174,0.0893,0.0476,0.7454,0.6374,8.3418,88.1772,0.6158,0.8748
Contras-MM-80,12345,0.2873,0.1903,0.6386,0.6281,20.3475,67.7908,0.6326,0.1792,0.1042,0.6752,0.6181,13.355,77.8041,0.6293,0.1333,0.0738,0.7047,0.6317,11.2339,87.0075,0.6255,0.1077,0.0582,0.7316,0.6443,10.6168,97.3784,0.6209,0.089,0.0474,0.7415,0.6521,9.4691,102.6318,0.6185,0.8988
Contras-MM-90,1,0.2767,0.1833,0.6242,0.6226,20.6277,70.6833,0.6406,0.1792,0.1042,0.6756,0.6069,17.9167,94.8023,0.634,0.1325,0.0734,0.7066,0.6226,14.3366,104.4105,0.6317,0.1055,0.057,0.7245,0.6359,11.5053,107.9802,0.6229,0.0875,0.0466,0.7389,0.6422,9.8186,111.3034,0.6222,0.8799
Contras-MM-90,12,0.2827,0.1873,0.6344,0.6348,19.6034,66.0651,0.6489,0.1777,0.1033,0.6749,0.618,13.9106,79.1245,0.6402,0.1317,0.073,0.7063,0.6263,12.0891,90.3671,0.6367,0.1053,0.0569,0.7267,0.6365,10.1127,95.3163,0.631,0.0877,0.0467,0.7405,0.6452,8.743,98.8815,0.6289,0.8842
Contras-MM-90,123,0.2814,0.1864,0.6298,0.6283,18.1271,60.9562,0.6378,0.1808,0.1051,0.6829,0.614,14.4047,78.2477,0.6323,0.1341,0.0743,0.7155,0.6317,13.7413,94.507,0.6258,0.1071,0.0579,0.7346,0.6416,11.726,101.0991,0.6199,0.09,0.0479,0.758,0.646,10.0683,104.878,0.6164,0.8971
Contras-MM-90,1234,0.2847,0.1886,0.6303,0.6179,15.8359,53.5205,0.6325,0.1785,0.1037,0.6729,0.6095,11.5724,64.9411,0.6245,0.1322,0.0733,0.6995,0.6197,9.4789,71.8844,0.6199,0.1045,0.0565,0.7117,0.6326,8.1179,76.6509,0.6174,0.0873,0.0465,0.7296,0.6378,7.2241,80.6146,0.6158,0.8799
Contras-MM-90,12345,0.2847,0.1886,0.6354,0.6323,19.5646,66.6077,0.6351,0.1792,0.1042,0.6748,0.6179,13.1092,77.1811,0.6321,0.1348,0.0747,0.7111,0.6303,12.0515,90.1446,0.627,0.1073,0.058,0.7288,0.6456,10.5098,97.1248,0.6228,0.0892,0.0475,0.7409,0.6551,8.9332,99.9778,0.6191,0.9028
GSAT,1,0.006,0.004,0.0095,0.0022,0.2055,0.4525,0.0051,0.0095,0.0055,0.028,0.0067,0.1631,0.6564,0.0099,0.0161,0.0089,0.0714,0.0154,0.2678,1.2905,0.0144,0.0134,0.0073,0.0743,0.0158,0.5531,3.2512,0.0143,0.0122,0.0065,0.0882,0.0164,1.0229,8.721,0.0199,0.0237
GSAT,12,0.1141,0.0756,0.2649,0.165,1.8713,8.4176,0.2093,0.0658,0.0382,0.2673,0.1619,1.6255,10.1933,0.1018,0.0463,0.0256,0.2684,0.1833,1.6749,12.2324,0.1017,0.0362,0.0196,0.2725,0.1925,1.4256,15.4302,0.1061,0.0297,0.0158,0.2758,0.1977,1.1603,15.5881,0.1084,0.4423
GSAT,123,0.0962,0.0637,0.2426,0.1405,0.4073,1.3435,0.1624,0.0597,0.0347,0.2605,0.1546,0.2509,1.2135,0.0938,0.0428,0.0237,0.2631,0.1605,0.4859,2.4656,0.094,0.0333,0.018,0.2655,0.1673,1.2514,6.606,0.082,0.0277,0.0148,0.269,0.1738,1.1284,7.7167,0.0779,0.3811
GSAT,1234,0.0445,0.0295,0.0896,0.0956,0.3766,1.3019,0.0824,0.0272,0.0158,0.0986,0.088,0.8264,3.1109,0.0507,0.019,0.0105,0.0986,0.0881,0.5509,3.1054,0.0507,0.0154,0.0084,0.1017,0.0902,0.4564,3.0476,0.0516,0.0135,0.0072,0.1116,0.0913,0.9013,6.9571,0.0497,0.2214
GSAT,12345,0.0126,0.0084,0.029,0.0474,0.0692,0.2507,0.0316,0.0079,0.0046,0.0314,0.0432,0.6361,1.9453,0.0219,0.0056,0.0031,0.0314,0.0432,0.4241,1.7144,0.0218,0.0057,0.0031,0.0375,0.0432,0.3938,2.5978,0.0285,0.0059,0.0032,0.0529,0.045,0.5345,5.5958,0.0415,0.1305
LightGCL,1,0.0544,0.036,0.1328,0.0772,1.255,3.6526,0.1344,0.0374,0.0218,0.1606,0.0803,0.9672,4.8259,0.1389,0.0283,0.0157,0.1714,0.0901,0.9003,5.8267,0.1404,0.0226,0.0122,0.1757,0.0923,1.0397,7.594,0.1409,0.0192,0.0102,0.1828,0.0938,0.8807,7.8662,0.1403,0.1706
LightGCL,12,0.0511,0.0338,0.1204,0.0522,1.0036,3.1411,0.1301,0.0348,0.0202,0.1434,0.0611,0.6362,3.573,0.1321,0.0267,0.0148,0.1573,0.0646,0.843,5.3036,0.131,0.022,0.0119,0.1702,0.0673,0.7186,5.7175,0.1319,0.0192,0.0102,0.1813,0.0689,1.1387,8.7499,0.1316,0.1275
LightGCL,123,0.0537,0.0356,0.1286,0.0965,0.7963,2.7961,0.1351,0.0367,0.0213,0.151,0.0956,0.9475,4.5354,0.1366,0.0278,0.0154,0.1597,0.0974,0.6891,4.7636,0.1371,0.024,0.013,0.1754,0.0992,0.9165,6.6332,0.1362,0.0206,0.011,0.1849,0.1012,0.7942,6.9648,0.1365,0.1993
LightGCL,1234,0.0511,0.0338,0.1265,0.0538,0.7993,3.1191,0.1162,0.0355,0.0207,0.1522,0.0601,1.3366,6.2786,0.1195,0.027,0.0149,0.1636,0.0674,1.7887,9.6598,0.1202,0.0218,0.0118,0.1717,0.068,1.8285,11.8773,0.1208,0.0187,0.0099,0.1774,0.0702,1.7309,13.3583,0.1212,0.1266
LightGCL,12345,0.0577,0.0382,0.1416,0.0874,1.6382,5.9101,0.1404,0.0393,0.0229,0.1644,0.0874,2.7815,12.0777,0.1436,0.0286,0.0158,0.1703,0.0883,1.8728,12.1517,0.1444,0.0236,0.0127,0.1838,0.0909,2.0369,15.1883,0.1448,0.0203,0.0108,0.1934,0.0927,1.6606,15.356,0.1452,0.1767
Random-MM-10,1,0.2833,0.1877,0.6333,0.633,20.5789,67.9563,0.6384,0.1792,0.1042,0.6823,0.6168,15.1797,83.7957,0.6368,0.1335,0.074,0.7146,0.6286,12.5882,93.6277,0.6298,0.1073,0.058,0.7385,0.6398,11.5966,103.8334,0.6256,0.089,0.0474,0.7508,0.6489,9.9605,107.5993,0.6236,0.895
Random-MM-10,12,0.2794,0.1851,0.6257,0.6292,16.9146,56.8149,0.635,0.1777,0.1033,0.6727,0.6183,12.1086,68.8428,0.6279,0.1309,0.0725,0.7013,0.6282,10.104,76.9986,0.6233,0.1053,0.0569,0.7248,0.6403,9.2107,84.6688,0.617,0.0877,0.0467,0.7365,0.6483,8.5472,91.0782,0.6158,0.8983
Random-MM-10,123,0.28,0.1855,0.6295,0.6321,16.6779,54.7499,0.6408,0.1792,0.1042,0.6747,0.6189,12.3171,67.6772,0.6362,0.1335,0.074,0.7062,0.6333,10.4477,76.5044,0.629,0.1053,0.0569,0.7217,0.6409,8.4953,79.5717,0.6267,0.0885,0.0471,0.7434,0.6488,7.8673,85.4249,0.6229,0.9055
Random-MM-10,1234,0.2827,0.1873,0.6307,0.6189,17.396,57.3949,0.6362,0.1815,0.1055,0.6821,0.6065,13.1166,70.9309,0.6258,0.1335,0.074,0.7064,0.6209,10.73,78.6066,0.6211,0.1075,0.0581,0.7278,0.631,9.5689,85.8184,0.6142,0.0893,0.0476,0.738,0.6386,8.8667,92.4845,0.6122,0.8791
Random-MM-10,12345,0.28,0.1855,0.6287,0.6294,15.2899,53.6098,0.6374,0.1796,0.1044,0.6807,0.6189,12.1318,67.9243,0.6313,0.1341,0.0743,0.7099,0.6321,9.7737,74.5371,0.6259,0.1073,0.058,0.734,0.6437,8.7365,81.1404,0.6211,0.09,0.0479,0.7507,0.6521,7.7668,85.4085,0.6162,0.9107
Random-MM-20,1,0.2847,0.1886,0.6395,0.6313,21.0147,67.6733,0.6361,0.1823,0.1059,0.6939,0.6148,15.9561,85.2008,0.6303,0.1341,0.0743,0.7152,0.6278,12.8018,93.6909,0.6246,0.1079,0.0584,0.7362,0.6419,11.7792,103.9369,0.621,0.0898,0.0478,0.7532,0.6493,10.0517,107.362,0.62,0.8926
Random-MM-20,12,0.2787,0.1846,0.6255,0.6321,16.7045,56.2189,0.6354,0.1773,0.1031,0.6721,0.6199,11.7505,67.535,0.6285,0.1309,0.0725,0.7007,0.6296,9.8302,75.6781,0.6238,0.1049,0.0567,0.7191,0.6413,9.0589,83.6661,0.6174,0.0872,0.0464,0.7344,0.6506,8.2177,88.9333,0.617,0.8981
Random-MM-20,123,0.278,0.1842,0.6272,0.6282,15.6736,53.5444,0.6401,0.1819,0.1057,0.6844,0.6172,12.6894,69.1298,0.6316,0.1335,0.074,0.7077,0.6301,10.3082,76.4988,0.6259,0.1061,0.0574,0.7263,0.6356,8.6332,80.687,0.6215,0.0888,0.0473,0.7445,0.6484,7.6525,84.7814,0.6192,0.9008
Random-MM-20,1234,0.282,0.1868,0.6254,0.6196,17.4732,58.5882,0.6387,0.1819,0.1057,0.6815,0.6075,12.91,71.6601,0.628,0.1343,0.0744,0.7062,0.6218,11.1786,81.7894,0.623,0.1075,0.0581,0.7247,0.6316,9.7437,88.183,0.6167,0.09,0.0479,0.7463,0.6388,9.2602,96.1598,0.6151,0.8758
Random-MM-20,12345,0.2867,0.1899,0.6321,0.6216,17.3817,58.5038,0.6342,0.1808,0.1051,0.6773,0.6199,11.7909,68.5618,0.63,0.1341,0.0743,0.7083,0.6359,10.5267,79.1988,0.6249,0.1059,0.0573,0.7218,0.6434,8.8269,83.5565,0.6224,0.0896,0.0477,0.746,0.6537,8.2361,90.025,0.6195,0.896
Random-MM-30,1,0.2867,0.1899,0.6379,0.634,21.0881,67.6752,0.6392,0.1823,0.1059,0.6911,0.6184,15.9069,84.9327,0.6372,0.1354,0.075,0.7198,0.6339,13.1098,94.9823,0.6302,0.1077,0.0582,0.7354,0.6459,11.3606,102.1395,0.6261,0.0903,0.0481,0.7589,0.6519,10.1219,107.8447,0.6242,0.9004
Random-MM-30,12,0.2814,0.1864,0.6323,0.6391,18.3021,61.3821,0.6455,0.1766,0.1026,0.6769,0.6221,12.8599,73.1327,0.6378,0.1341,0.0743,0.7117,0.6344,11.5583,84.9408,0.6266,0.1053,0.0569,0.7244,0.6436,9.4869,88.7757,0.6264,0.087,0.0463,0.7354,0.6526,7.9327,90.6668,0.6244,0.908
Random-MM-30,123,0.2767,0.1833,0.6207,0.6239,13.8366,48.3951,0.639,0.1823,0.1059,0.6847,0.6125,11.6758,63.8577,0.6297,0.1341,0.0743,0.7093,0.6265,10.0328,72.7884,0.6255,0.1088,0.0588,0.7432,0.6362,9.4724,81.9655,0.6229,0.0903,0.0481,0.7545,0.6441,8.1474,85.0635,0.6176,0.9037
Random-MM-30,1234,0.284,0.1881,0.6331,0.6271,17.4547,57.7236,0.6397,0.18,0.1046,0.676,0.6125,12.8648,70.8438,0.632,0.1304,0.0722,0.6934,0.6264,9.923,76.1364,0.6276,0.1063,0.0575,0.7207,0.6356,10.0082,88.2368,0.6212,0.0892,0.0475,0.74,0.6426,8.9083,93.1924,0.6179,0.8888
Random-MM-30,12345,0.2833,0.1877,0.6327,0.6313,15.9894,56.4105,0.6405,0.1811,0.1053,0.6789,0.6156,12.5357,70.534,0.6319,0.1338,0.0741,0.7112,0.6355,9.6671,75.7147,0.6295,0.1077,0.0582,0.7384,0.6416,8.738,82.6752,0.6244,0.0901,0.048,0.7514,0.6507,7.9351,87.864,0.6206,0.8957
Random-MM-40,1,0.2833,0.1877,0.6348,0.6293,21.1339,68.3121,0.6383,0.1804,0.1048,0.6871,0.6128,15.5985,84.6861,0.6334,0.1343,0.0744,0.7151,0.6288,12.9369,94.7929,0.6258,0.1077,0.0582,0.7339,0.6411,11.7636,104.522,0.6216,0.0896,0.0477,0.7502,0.649,9.9624,107.5628,0.6187,0.8963
Random-MM-40,12,0.2774,0.1837,0.6259,0.6381,16.6857,56.6469,0.6352,0.1762,0.1024,0.6692,0.6208,12.0234,68.6326,0.6275,0.1298,0.0719,0.6988,0.6306,9.8901,76.2394,0.6231,0.1047,0.0566,0.7215,0.6436,8.8562,83.1117,0.62,0.0873,0.0465,0.7374,0.6519,7.888,87.5101,0.6171,0.904
Random-MM-40,123,0.282,0.1868,0.6337,0.6154,15.0391,49.9903,0.6373,0.1804,0.1048,0.6823,0.6106,11.1555,61.608,0.6277,0.1348,0.0747,0.7158,0.6201,10.2124,72.6266,0.623,0.1065,0.0576,0.7294,0.6316,8.682,77.4767,0.6178,0.089,0.0474,0.7503,0.6397,7.801,82.1514,0.6133,0.886
Random-MM-40,1234,0.2774,0.1837,0.6251,0.6311,19.1448,66.1963,0.6373,0.1792,0.1042,0.6731,0.6129,16.1839,87.1252,0.6297,0.1311,0.0727,0.7012,0.622,13.12,96.434,0.6264,0.1053,0.0569,0.7233,0.6346,11.0181,102.0778,0.6203,0.0882,0.0469,0.7408,0.6422,9.619,106.4964,0.6155,0.8917
Random-MM-40,12345,0.2814,0.1864,0.6285,0.6335,15.6177,55.5305,0.6374,0.1804,0.1048,0.6774,0.6141,12.5502,70.4479,0.6322,0.1335,0.074,0.7079,0.6306,9.7654,76.029,0.6271,0.1075,0.0581,0.7345,0.6395,8.9751,83.834,0.6231,0.0896,0.0477,0.7491,0.6502,7.8057,87.2365,0.62,0.899
Random-MM-50,1,0.2814,0.1864,0.6272,0.6455,20.9573,67.8804,0.6407,0.1815,0.1055,0.6845,0.6208,17.3041,89.851,0.6397,0.1341,0.0743,0.7098,0.6393,13.2891,96.8159,0.6292,0.1057,0.0571,0.727,0.6468,10.9858,101.6761,0.6268,0.0883,0.047,0.7421,0.658,9.5364,105.7702,0.624,0.9059
Random-MM-50,12,0.2794,0.1851,0.6282,0.6392,16.9449,57.3001,0.64,0.1751,0.1018,0.667,0.6209,11.9237,68.3961,0.6333,0.1304,0.0722,0.6992,0.6327,9.8518,76.0846,0.6288,0.1047,0.0566,0.7197,0.6468,8.6152,81.9544,0.6224,0.0877,0.0467,0.7392,0.6536,7.8908,87.4537,0.6202,0.9092
Random-MM-50,123,0.2827,0.1873,0.6343,0.6255,18.902,63.5119,0.6373,0.1789,0.104,0.678,0.6166,15.1279,81.8812,0.6338,0.1325,0.0734,0.7067,0.6268,11.3157,86.7142,0.6286,0.1059,0.0573,0.7283,0.6408,10.0781,94.2075,0.6225,0.0885,0.0471,0.746,0.6449,9.1098,99.9184,0.6203,0.8962
Random-MM-50,1234,0.284,0.1881,0.6318,0.6197,17.5086,57.1601,0.6356,0.1789,0.104,0.6741,0.6067,12.7678,69.729,0.6283,0.1343,0.0744,0.7067,0.6223,10.9947,79.5468,0.6193,0.1069,0.0578,0.7248,0.6304,9.36,84.7898,0.6143,0.0893,0.0476,0.7439,0.6385,8.6615,91.2456,0.6118,0.8741
Random-MM-50,12345,0.2847,0.1886,0.6332,0.6284,18.993,65.0506,0.6381,0.1842,0.107,0.6874,0.6137,14.0795,79.5872,0.6343,0.1346,0.0746,0.7106,0.6349,10.6982,84.8488,0.6317,0.1071,0.0579,0.7317,0.6465,9.2449,90.5634,0.6289,0.0901,0.048,0.7521,0.6521,8.8076,98.297,0.6263,0.8977
Random-MM-60,1,0.286,0.1895,0.6367,0.6334,20.0901,64.8076,0.6367,0.1792,0.1042,0.6806,0.6201,14.4344,79.1482,0.6355,0.1348,0.0747,0.7185,0.631,12.5966,90.9748,0.6279,0.1083,0.0586,0.7408,0.6444,11.2333,99.3676,0.6238,0.0903,0.0481,0.7557,0.6515,10.1826,105.8462,0.6219,0.9023
Random-MM-60,12,0.2807,0.1859,0.6318,0.6341,17.9866,59.2816,0.6399,0.1789,0.104,0.6841,0.6179,13.4763,73.3023,0.6326,0.1343,0.0744,0.7114,0.6352,11.0759,81.5974,0.6253,0.1059,0.0573,0.7257,0.6472,9.6599,88.0336,0.6237,0.0875,0.0466,0.7371,0.6534,8.2873,91.0801,0.6217,0.9053
Random-MM-60,123,0.2767,0.1833,0.6255,0.6268,15.423,52.4426,0.6383,0.1808,0.1051,0.6801,0.6141,11.8067,65.8202,0.6281,0.1343,0.0744,0.7117,0.6275,10.4637,76.0333,0.6211,0.1055,0.057,0.7218,0.6379,8.1754,77.5787,0.6179,0.0895,0.0476,0.7453,0.6462,7.5997,83.3832,0.6142,0.9009
Random-MM-60,1234,0.284,0.1881,0.6344,0.6174,17.567,57.3817,0.6364,0.1789,0.104,0.6713,0.6077,12.3881,68.7853,0.6282,0.1343,0.0744,0.7047,0.6205,11.2124,80.6408,0.6211,0.1069,0.0578,0.7257,0.632,9.4552,85.568,0.6155,0.0892,0.0475,0.745,0.6398,8.4426,90.3961,0.6131,0.8774
Random-MM-60,12345,0.2827,0.1873,0.6287,0.6389,18.4386,64.1813,0.6398,0.1823,0.1059,0.6817,0.6144,13.6048,78.1742,0.6374,0.133,0.0737,0.7036,0.6371,10.438,83.6479,0.6348,0.1057,0.0571,0.7231,0.649,9.047,89.4135,0.6316,0.0892,0.0475,0.7432,0.6552,8.3947,95.7439,0.6241,0.8989
Random-MM-70,1,0.282,0.1868,0.6294,0.6409,16.5894,58.6746,0.64,0.1796,0.1044,0.6775,0.6165,12.328,71.5595,0.6374,0.1338,0.0741,0.705,0.6291,10.3593,80.0691,0.6312,0.1063,0.0575,0.7266,0.6388,8.982,85.7327,0.6278,0.0873,0.0465,0.7326,0.6476,7.5317,87.6111,0.6263,0.8889
Random-MM-70,12,0.2787,0.1846,0.6294,0.6354,17.2063,57.5635,0.6437,0.1789,0.104,0.6804,0.6198,13.1268,71.7151,0.6323,0.1346,0.0746,0.7146,0.6342,11.5498,82.7137,0.6264,0.1055,0.057,0.7271,0.6461,9.2636,85.531,0.6258,0.0875,0.0466,0.7369,0.6521,8.4079,90.9668,0.6225,0.9047
Random-MM-70,123,0.278,0.1842,0.6278,0.622,15.3516,52.4296,0.6405,0.1811,0.1053,0.6808,0.6142,12.266,67.0121,0.6282,0.1343,0.0744,0.7086,0.6225,10.3296,75.4491,0.6215,0.1057,0.0571,0.7216,0.633,8.3406,78.2551,0.6178,0.0901,0.048,0.752,0.6433,8.2644,86.9052,0.616,0.8925
Random-MM-70,1234,0.2833,0.1877,0.6292,0.6212,17.0869,56.8888,0.6336,0.1792,0.1042,0.6747,0.6098,12.6946,69.9529,0.6282,0.1327,0.0736,0.7029,0.6219,10.2726,77.1307,0.6206,0.1053,0.0569,0.7181,0.6309,8.6839,81.7498,0.6171,0.0885,0.0471,0.7367,0.6387,8.1156,88.1527,0.6128,0.8836
Random-MM-70,12345,0.2833,0.1877,0.6314,0.6332,18.6302,64.218,0.639,0.1826,0.1062,0.6816,0.6165,13.7903,78.5936,0.6358,0.133,0.0737,0.7052,0.6363,10.5039,83.8134,0.6335,0.1059,0.0573,0.727,0.6477,9.0968,89.5633,0.6308,0.0895,0.0476,0.7496,0.6537,8.4319,95.8409,0.6267,0.9015
Random-MM-80,1,0.282,0.1868,0.6314,0.6357,15.9751,56.1234,0.6419,0.1811,0.1053,0.6809,0.6177,13.0723,72.7593,0.6368,0.1327,0.0736,0.7013,0.6308,10.1615,78.451,0.6324,0.1067,0.0577,0.7269,0.6437,9.7045,88.1226,0.628,0.0896,0.0477,0.7466,0.6487,8.8563,94.088,0.6238,0.8891
Random-MM-80,12,0.2847,0.1886,0.6357,0.6243,17.0923,54.5352,0.6352,0.1781,0.1035,0.6753,0.6184,11.561,63.9186,0.623,0.1325,0.0734,0.7079,0.6331,9.8763,72.6312,0.6194,0.1055,0.057,0.7244,0.6442,8.8473,79.3632,0.6164,0.0883,0.047,0.7405,0.6509,7.8182,83.4096,0.6126,0.8939
Random-MM-80,123,0.2767,0.1833,0.6293,0.6235,15.2467,52.1806,0.6387,0.1808,0.1051,0.6804,0.6131,11.8758,65.8968,0.6262,0.1341,0.0743,0.7087,0.6239,10.1639,74.7734,0.6195,0.1053,0.0569,0.7231,0.6334,8.1941,77.4747,0.6182,0.0896,0.0477,0.7488,0.6437,7.9098,84.8175,0.6149,0.8927
Random-MM-80,1234,0.2833,0.1877,0.6289,0.6215,17.0901,57.2463,0.6345,0.1792,0.1042,0.6772,0.6116,12.5759,69.981,0.6295,0.1325,0.0734,0.7011,0.6248,10.3254,77.6951,0.62,0.1053,0.0569,0.7183,0.6327,8.8988,83.1456,0.6174,0.0888,0.0473,0.7396,0.6415,8.2328,89.2233,0.6119,0.8836
Random-MM-80,12345,0.2847,0.1886,0.6308,0.6374,18.7193,64.109,0.6361,0.1815,0.1055,0.6831,0.6118,13.3551,77.0262,0.6335,0.1327,0.0736,0.7052,0.6352,10.5165,83.4513,0.6323,0.1063,0.0575,0.7268,0.6474,8.9993,88.7011,0.6271,0.0898,0.0478,0.749,0.6542,8.5636,96.1252,0.6199,0.8977
Random-MM-90,1,0.284,0.1881,0.6376,0.6246,25.6844,82.0864,0.6461,0.1808,0.1051,0.6842,0.6158,20.2157,105.8011,0.6359,0.1317,0.073,0.7024,0.6267,14.8982,111.4641,0.6331,0.1039,0.0562,0.7162,0.6352,11.7373,114.1273,0.6304,0.0865,0.0461,0.7291,0.6387,10.0793,117.9117,0.6245,0.8868
Random-MM-90,12,0.2814,0.1864,0.6317,0.6315,16.8628,55.3387,0.6335,0.1789,0.104,0.6734,0.6165,11.2357,64.3175,0.6253,0.1325,0.0734,0.7066,0.6351,9.59,72.5534,0.6221,0.1055,0.057,0.7225,0.6431,8.5836,79.1627,0.6203,0.0893,0.0476,0.7433,0.6513,7.9391,84.9972,0.6145,0.9108
Random-MM-90,123,0.2867,0.1899,0.6459,0.6236,23.2473,75.4894,0.639,0.1842,0.107,0.6907,0.6125,17.9467,96.3724,0.6311,0.1333,0.0738,0.711,0.6314,13.2005,101.2956,0.6279,0.1065,0.0576,0.7354,0.6417,11.6379,109.513,0.6227,0.089,0.0474,0.7493,0.6492,9.8487,112.4412,0.6171,0.8889
Random-MM-90,1234,0.2853,0.189,0.632,0.6234,17.3014,56.8698,0.6375,0.1789,0.104,0.6751,0.6101,12.484,68.7776,0.6314,0.133,0.0737,0.7011,0.6213,10.3341,76.7674,0.6226,0.1061,0.0574,0.7176,0.6296,8.9569,82.4209,0.6173,0.0893,0.0476,0.7448,0.6384,8.2489,88.369,0.614,0.8784
Random-MM-90,12345,0.282,0.1868,0.6301,0.6304,15.4858,53.3779,0.6377,0.1777,0.1033,0.6681,0.6136,11.1095,64.1108,0.6315,0.133,0.0737,0.7028,0.6287,9.1123,70.7994,0.6263,0.1083,0.0586,0.7363,0.6403,8.6345,79.3228,0.6208,0.09,0.0479,0.7494,0.65,7.5928,83.0678,0.6188,0.9108
MISR,12345,0.1944,0.1288,0.4371,0.2023,1.7243,5.0274,0.4141,0.1403,0.0815,0.5098,0.2414,1.7316,7.8318,0.4102,0.1105,0.0612,0.5855,0.2514,1.8706,10.6573,0.4096,0.0888,0.048,0.6039,0.2628,1.7976,12.5169,0.4055,0.0753,0.0401,0.6392,0.2778,1.7336,14.1284,0.4063,0.3033
